,mass_bin_start,mass_bin_end,bias,Ïƒ_nmad
0,8.50406551361084,9.805875778198242,0.07018606906763347,0.17392125193550567
1,9.805875778198242,10.109896659851074,0.020015101371478217,0.14722195146117106
2,10.109896659851074,10.31782054901123,0.0024575455084225872,0.13929521863219615
3,10.31782054901123,10.486056327819824,-0.00243257056839985,0.1302551154256595
4,10.486056327819824,10.629722595214844,-0.006802396328468685,0.12514902160610247
5,10.629722595214844,10.761898040771484,-0.010577147423710631,0.11850477861442303
6,10.761898040771484,10.89314079284668,-0.010689618517991661,0.11328084820448478
7,10.89314079284668,11.035379409790039,-0.01834108500967524,0.10456196618670785
8,11.035379409790039,11.21773910522461,-0.031682201911790386,0.10559229829971101
9,11.21773910522461,11.996722221374512,-0.05893084570745,0.1225081493610796
